Dataset,Method,Algorithm,Training Size,Actual Size Trained,Layer,AUC,MAP,BRP_90
amazon_polarity,Black Box,BB,200,200,,0.7522719999999999,0.7092735126203145,0.004
amazon_polarity,Black Box,BB,500,500,,0.7733679999999998,0.7372385173618492,0.0
amazon_polarity,Black Box,BB,1000,1000,,0.788436,0.7596519140082971,0.0
amazon_polarity,Black Box,BB,2000,2000,,0.800688,0.7795692782662398,0.026
amazon_polarity,Black Box,BB,5000,5000,,0.801856,0.781671320631727,0.138
ag_news,Black Box,BB,100,100,,0.8601640000000002,0.8232778966178713,0.126
ag_news,Black Box,BB,200,200,,0.8804,0.839209062799946,0.264
ag_news,Black Box,BB,500,500,,0.919088,0.8866915476341745,0.542
ag_news,Black Box,BB,1000,1000,,0.930892,0.9035497296687718,0.696
ag_news,Black Box,BB,2000,2000,,0.933196,0.9070365646454674,0.744
ag_news,Black Box,BB,5000,5000,,0.9377,0.9205431995223065,0.834
dbpedia_14,Black Box,BB,100,100,,0.965928,0.963107708647618,0.906
dbpedia_14,Black Box,BB,200,200,,0.979208,0.9788822863362696,0.968
dbpedia_14,Black Box,BB,500,500,,0.98406,0.9847290979948696,0.958
dbpedia_14,Black Box,BB,1000,1000,,0.986672,0.9882379880629611,0.966
dbpedia_14,Black Box,BB,2000,2000,,0.986788,0.9885795063686118,0.966
dbpedia_14,Black Box,BB,5000,5000,,0.98894,0.9899974242610406,0.972
boolq,White Box,LR-G,100,100,19.0,0.77118,0.770947622218286,0.222
boolq,White Box,LR-G,200,200,13.0,0.7124159999999999,0.7034627092720399,0.036
boolq,White Box,LR-G,500,500,16.0,0.84886,0.848015787388896,0.462
boolq,White Box,LR-G,1000,1000,31.0,0.8727199999999999,0.8707938524764036,0.504
boolq,White Box,LR-G,2000,2000,16.0,0.8902840000000001,0.8911868599979682,0.576
boolq,White Box,LR-G,5000,5000,16.0,0.9173360000000002,0.9187176236899104,0.716
boolq,White Box,LR-G,10000,10000,17.0,0.924032,0.9240237847052727,0.726
boolq,White Box,LR-G,20000,17854,16.0,0.9280800000000001,0.9288779565645411,0.764
imdb,White Box,LR-G,100,100,1,0.607424,0.5862500372892798,0.0
imdb,White Box,LR-G,200,200,1,0.607376,0.5867907617717161,0.0
imdb,White Box,LR-G,500,500,1,0.60816,0.5873615584086781,0.0
imdb,White Box,LR-G,1000,1000,1,0.6086959999999999,0.5881248364044123,0.0
imdb,White Box,LR-G,2000,2000,1,0.608456,0.5880429732985656,0.0
imdb,White Box,LR-G,5000,5000,1,0.608472,0.5880449179671693,0.0
imdb,White Box,LR-G,10000,10000,17.0,0.9852920000000001,0.9855468361251684,0.974
commonsense_qa,White Box,LR-G,100,100,10.0,0.7976540000000001,0.7955371738381434,0.238
commonsense_qa,White Box,LR-G,200,200,32.0,0.90733,0.9094304621789666,0.684
commonsense_qa,White Box,LR-G,500,500,16.0,0.9200180000000001,0.9214996285264077,0.728
commonsense_qa,White Box,LR-G,1000,1000,16.0,0.9335979999999999,0.9353331893896583,0.774
commonsense_qa,White Box,LR-G,2000,2000,13.0,0.919346,0.9212756759049451,0.758
commonsense_qa,White Box,LR-G,5000,5000,18.0,0.952502,0.9540038226885725,0.844
commonsense_qa,White Box,LR-G,10000,10000,15.0,0.943094,0.9443540519114947,0.84
commonsense_qa,White Box,LR-G,20000,20000,18.0,0.960174,0.9612086382725729,0.872
race,White Box,LR-G,100,100,2.0,0.6348119999999999,0.6442470615304027,0.03
race,White Box,LR-G,200,200,20.0,0.9134639999999999,0.9144382504207833,0.706
race,White Box,LR-G,500,500,13.0,0.893012,0.8938768729272926,0.616
race,White Box,LR-G,1000,1000,16.0,0.933768,0.9322345503309486,0.778
race,White Box,LR-G,2000,2000,31.0,0.917168,0.9175543609576062,0.708
race,White Box,LR-G,5000,5000,16.0,0.9447679999999999,0.9445318531523132,0.81
race,White Box,LR-G,10000,10000,17.0,0.948396,0.9464907698046436,0.834
race,White Box,LR-G,20000,20000,18.0,0.948948,0.9485565471424682,0.838
race,White Box,LR-G,50000,50000,19.0,0.9550919999999999,0.9533553825656365,0.868
amazon_polarity,White Box,LR-G,100,100,16.0,0.975408,0.971932109937888,0.954
amazon_polarity,White Box,LR-G,200,200,31.0,0.97036,0.9674027297513863,0.948
amazon_polarity,White Box,LR-G,500,500,27.0,0.9767,0.9742103811534081,0.96
amazon_polarity,White Box,LR-G,1000,1000,25.0,0.9778720000000002,0.9750544116921745,0.968
amazon_polarity,White Box,LR-G,2000,2000,30.0,0.9777480000000001,0.9752558345853604,0.97
amazon_polarity,White Box,LR-G,5000,5000,18.0,0.9809279999999999,0.9786820899240636,0.972
amazon_polarity,White Box,LR-G,10000,10000,23.0,0.9810840000000001,0.9792873732917446,0.974
amazon_polarity,White Box,LR-G,20000,20000,24.0,0.98192,0.9785203705985777,0.974
amazon_polarity,White Box,LR-G,50000,50000,23.0,0.985192,0.9847662840396929,0.982
ag_news,White Box,LR-G,100,100,12.0,0.8965080000000001,0.9036434673189159,0.624
ag_news,White Box,LR-G,200,200,12.0,0.964,0.9649345937785014,0.89
ag_news,White Box,LR-G,500,500,21.0,0.977148,0.9776438351666593,0.95
ag_news,White Box,LR-G,1000,1000,28.0,0.979532,0.9796517573065444,0.958
ag_news,White Box,LR-G,2000,2000,11.0,0.979716,0.9803145246841048,0.956
ag_news,White Box,LR-G,5000,5000,16.0,0.98704,0.9869388755786573,0.976
ag_news,White Box,LR-G,10000,10000,27.0,0.988056,0.9882096676831607,0.984
ag_news,White Box,LR-G,20000,20000,28.0,0.98802,0.9881129313465453,0.982
ag_news,White Box,LR-G,50000,50000,27.0,0.990024,0.9899215758599682,0.984
dbpedia_14,White Box,LR-G,100,100,14.0,0.998736,0.9987573196117026,1.0
dbpedia_14,White Box,LR-G,200,200,3.0,0.9727159999999999,0.9741763517650806,0.93
dbpedia_14,White Box,LR-G,500,500,4.0,0.914532,0.9116501836833254,0.93
dbpedia_14,White Box,LR-G,1000,1000,3.0,0.96838,0.9700103669331271,0.93
dbpedia_14,White Box,LR-G,2000,2000,14.0,0.996628,0.9967188159625551,1.0
dbpedia_14,White Box,LR-G,5000,5000,8.0,0.8750640000000001,0.836852891794396,0.876
dbpedia_14,White Box,LR-G,10000,10000,19.0,0.995652,0.9957880111543203,1.0
dbpedia_14,White Box,LR-G,20000,20000,13.0,0.9926320000000001,0.9928999041998787,0.99
dbpedia_14,White Box,LR-G,50000,50000,26.0,1.0,1.0,1.0
open_book_qa,White Box,LR-G,100,100,21.0,0.8818159999999999,0.8869935920777374,0.58
open_book_qa,White Box,LR-G,200,200,23.0,0.8864560000000001,0.8890419027952827,0.548
open_book_qa,White Box,LR-G,500,500,16.0,0.905656,0.9064591850725395,0.666
open_book_qa,White Box,LR-G,1000,1000,19.0,0.9089999999999999,0.9084290322746883,0.69
open_book_qa,White Box,LR-G,2000,2000,22.0,0.911616,0.9091700024895158,0.702
open_book_qa,White Box,LR-G,5000,5000,18.0,0.930312,0.9290193032416743,0.782
open_book_qa,White Box,LR-G,10000,9914,20.0,0.939896,0.9390627646167752,0.814
